Index,Object,Intent,Session,GraspType,GraspTypeIndex,Rank,Error,PoseIndex,HandConfiguration,Image
313,cell_phone,handoff,14,Power Sphere,4,1,0.021541999999999999,2782,"0,0.211347,0.962451,-0.170355,0.0493795,0.780178,-0.271107,-0.563758,0.000527005,-0.588774,-0.0137582,-0.808181,0.0410246,0.122893,1.52502,2.51327,0.000275838",screenshots/cell_phone_14_handoff.png
314,cell_phone,handoff,15,Invalid,7,17,0.14150499999999999,2352,"16,-0.792276,0.0608576,0.60712,-0.0930597,-0.0788577,-0.996881,-0.00298018,0.0216906,0.605045,-0.0502372,0.794604,-0.0529988,0.00196017,1.20657,0.984714,1.35926",screenshots/cell_phone_15_handoff.png
315,cell_phone,handoff,16,Power Sphere,4,3,0.15162500000000001,1392,"2,-0.141635,-0.107101,0.984108,-0.0952444,0.103142,-0.990316,-0.0929321,-0.0155738,0.984531,0.0883407,0.15131,0.00936708,0,2.49143,1.98663,1.27507",screenshots/cell_phone_16_handoff.png
350,cell_phone,use,1,Precision,6,4,-0.078355999999999995,3159,"3,-0.99541,-0.0249546,0.092387,-0.0433987,-0.0136548,0.992561,0.120978,-0.0265719,-0.0947187,0.119162,-0.988346,0.10917,0,1.06185,1.03471,1.31345",screenshots/cell_phone_1_use.png
351,cell_phone,use,2,Precision Sphere,5,1,-0.169908,524,"0,0.122195,-0.858199,0.498561,-0.0574033,0.953242,0.241371,0.181849,-0.0313435,-0.276401,0.453028,0.847566,-0.0779583,0.250407,1.03307,1.37002,1.59584",screenshots/cell_phone_2_use.png
352,cell_phone,use,3,Power Sphere,4,1,-0.197905,900,"0,0.915851,0.321671,0.240301,-0.0416092,-0.151594,-0.277168,0.948787,-0.030706,0.371801,-0.905376,-0.205082,0.013078,0.17704,1.23536,1.37377,1.21813",screenshots/cell_phone_3_use.png
353,cell_phone,use,4,Precision,6,2,-0.089816999999999994,2871,"1,-0.96664,0.176137,-0.185961,-0.00600369,0.176924,0.984146,0.0124878,-0.0189774,0.185213,-0.0208297,-0.982477,0.107471,0.0468921,1.06545,1.01233,1.35052",screenshots/cell_phone_4_use.png
354,cell_phone,use,5,Precision,6,7,-0.112027,3157,"6,-0.955108,0.294449,-0.0326854,-0.0390535,0.293279,0.955339,0.0362756,-0.0175846,0.0419069,0.0250611,-0.998806,0.113778,0.0112742,1.09069,0.974974,1.29609",screenshots/cell_phone_5_use.png
355,cell_phone,use,6,Precision Sphere,5,1,0.046082999999999999,524,"0,0.0848975,-0.871939,0.482198,-0.0539136,0.894154,0.280202,0.349249,-0.0400857,-0.439636,0.401509,0.803437,-0.0653339,0.305594,1.14352,1.51985,1.36669",screenshots/cell_phone_6_use.png
356,cell_phone,use,7,Precision Sphere,5,1,0.013513000000000001,1128,"0,0.0724251,-0.894391,0.441384,-0.0321003,-0.98763,-0.12602,-0.0933013,0.0162507,0.139071,-0.429167,-0.892454,0.0903811,0.170639,1.1388,1.70356,0.811184",screenshots/cell_phone_7_use.png
357,cell_phone,use,8,Power Sphere,4,1,0.012709,1480,,screenshots/cell_phone_8_use.png
358,cell_phone,use,9,Precision Sphere,5,7,0.0099950000000000004,2700,"6,-0.251923,-0.910248,0.32861,-0.038557,-0.931512,0.32013,0.172629,-0.0374068,-0.262334,-0.262615,-0.928555,0.105017,0.0713158,1.37004,0.822549,1.14661",screenshots/cell_phone_9_use.png
359,cell_phone,use,10,Precision,6,1,-0.14469199999999999,3120,"0,-0.999546,-0.0246339,0.0173319,-0.0204189,-0.022801,0.994826,0.0989962,-0.0136113,-0.0196808,0.098556,-0.994937,0.109214,0,1.15391,1.14284,1.21815",screenshots/cell_phone_10_use.png
360,cell_phone,use,11,Precision,6,2,-0.14504800000000001,1633,"1,0.963817,-0.260334,0.057282,-0.0348439,-0.252318,-0.960308,-0.11892,0.0248583,0.0859673,0.100164,-0.99125,0.11048,0.0152077,1.09749,1.00541,1.27163",screenshots/cell_phone_11_use.png
361,cell_phone,use,12,Precision Sphere,5,1,-0.001761,580,"0,0.77064,-0.250505,0.585969,-0.0557395,-0.269971,-0.961245,-0.055884,0.0121614,0.577259,-0.115128,-0.808403,0.0852831,0.0277064,1.16873,1.26662,1.26928",screenshots/cell_phone_12_use.png
362,cell_phone,use,13,Precision,6,11,0.0059059999999999998,3157,"10,-0.973985,0.225381,-0.0236093,-0.0388546,0.222509,0.970876,0.0888191,-0.0259166,0.0429399,0.0812553,-0.995767,0.107357,0.0244733,1.10014,0.956373,1.33398",screenshots/cell_phone_13_use.png
363,cell_phone,use,14,Power Sphere,4,1,0.006012,1689,"0,-0.0650743,0.968714,-0.239493,0.0423191,0.956929,0.128629,0.26027,0.0064695,0.282933,-0.212241,-0.935362,0.0290863,2.94335,2.5033,1.36937,0.171457",screenshots/cell_phone_14_use.png
364,cell_phone,use,15,Power Sphere,4,1,-0.12692899999999999,2940,"0,0.199926,0.978917,0.0418323,-0.0634205,-0.404139,0.0434942,0.913663,-0.00781523,0.892581,-0.199571,0.404315,-0.0172372,1.15703,1.56997,1.55025,1.56118",screenshots/cell_phone_15_use.png
365,cell_phone,use,16,Power Sphere,4,1,0.030002999999999998,745,"0,0.0183793,-0.320662,0.947015,-0.0750469,0.310024,-0.898662,-0.310306,0.0357636,0.950551,0.299301,0.0828961,0.00353587,0,2.51327,1.56316,1.31764",screenshots/cell_phone_16_use.png
400,cup,handoff,1,Power Sphere,4,2,-0.192719,1357,"1,-0.587487,0.144671,0.796197,-0.0379091,-0.797579,0.0628596,-0.599929,0.0301432,-0.136841,-0.987481,0.0784573,0.0907439,1.23156,1.8325,1.34856,1.39137",screenshots/cup_1_handoff.png
401,cup,handoff,2,Medium Wrap,2,1,-0.25543199999999999,3089,"0,0.0264552,-0.992043,0.123091,-0.00506629,-0.173014,0.116732,0.977977,-0.0831246,-0.984563,-0.047169,-0.168549,0.098421,0.0465612,1.00558,1.00716,1.09958",screenshots/cup_2_handoff.png
402,cup,handoff,3,Medium Wrap,2,1,-0.15860399999999999,2000,"0,0.23751,0.700646,-0.672818,0.0373011,0.378443,-0.704653,-0.600204,0.0191955,-0.894633,-0.112069,-0.432517,0.133816,0,1.01205,1.53846,1.12378",screenshots/cup_3_handoff.png
403,cup,handoff,4,Medium Wrap,2,1,-0.14203099999999999,1344,"0,0.0584938,-0.728321,0.682735,-0.0470766,-0.245498,-0.673399,-0.697328,0.0308711,0.96763,-0.126821,-0.218191,0.10401,0.0931522,1.28358,0.178496,1.05157",screenshots/cup_4_handoff.png
404,cup,handoff,5,Precision,6,1,-0.16791700000000001,896,,screenshots/cup_5_handoff.png
405,cup,handoff,6,Invalid,7,17,0.048474999999999997,1269,,screenshots/cup_6_handoff.png
406,cup,handoff,7,Medium Wrap,2,1,-0.067073999999999995,1040,"0,0.102647,-0.106006,-0.989053,0.0498465,0.0926592,-0.988963,0.115613,-0.00944581,-0.990392,-0.103512,-0.091692,0.104999,0.0414551,1.19375,1.41484,1.20151",screenshots/cup_7_handoff.png
407,cup,handoff,8,Precision,6,10,-0.202434,305,"9,-0.510071,-0.289645,0.809897,-0.0582968,-0.079089,0.9534,0.291157,-0.0454048,-0.856488,0.0844566,-0.50921,0.112041,0.054512,0.902131,0.811384,1.24638",screenshots/cup_8_handoff.png
409,cup,handoff,10,Medium Wrap,2,3,-0.125448,288,"2,0.297938,0.00795439,0.954552,-0.056492,-0.0706719,-0.997037,0.030367,-0.0169772,0.951965,-0.0765074,-0.296493,0.117732,0.0895125,1.28276,0,1.06504",screenshots/cup_10_handoff.png
410,cup,handoff,11,Power Sphere,4,1,-0.12639700000000001,1484,,screenshots/cup_11_handoff.png
411,cup,handoff,12,Precision Sphere,5,1,-0.20125000000000001,460,"0,0.102249,0.895941,-0.432246,0.0234382,0.985574,-0.0323309,0.166127,0.0186789,0.134865,-0.442997,-0.886322,0.166907,0.807975,1.07452,1.15514,1.25763",screenshots/cup_12_handoff.png
412,cup,handoff,13,Medium Wrap,2,3,-0.030501,2596,"2,0.144538,0.971523,0.187756,-0.045214,0.299992,-0.223842,0.927307,-0.0680628,0.942928,-0.0777062,-0.323803,0.0452574,0.154292,0.877721,0.675148,1.35128",screenshots/cup_13_handoff.png
413,cup,handoff,14,Power Sphere,4,1,0.051797999999999997,1358,"0,-0.764987,-0.179317,0.61858,-0.00877632,-0.616192,-0.0756239,-0.783956,0.0453489,0.187356,-0.98088,-0.0526426,0.105427,1.46784,1.36752,0.841562,1.44996",screenshots/cup_14_handoff.png
414,cup,handoff,15,Power Sphere,4,1,-0.028306999999999999,1952,"0,-0.0411021,0.43671,-0.898662,0.038848,0.301675,0.862871,0.405519,-0.0231287,0.952524,-0.254436,-0.16721,0.0743606,1.66829,1.34706,0.326373,1.31942",screenshots/cup_15_handoff.png
415,cup,handoff,16,Power Sphere,4,1,-0.13675799999999999,1422,"0,0.609218,0.184923,-0.771139,0.029478,0.712348,0.299665,0.634633,-0.0340227,0.348442,-0.935951,0.0508322,0.0957579,1.36283,1.37125,0.577339,1.31506",screenshots/cup_16_handoff.png
450,cup,use,1,Power Sphere,4,1,-0.119627,1944,"0,-0.0519104,-0.310672,-0.949099,0.0402495,-0.998649,0.0142356,0.049961,0.0117062,-0.00201047,0.95041,-0.310992,0.116856,2.08574,1.34213,1.08737,0.40701",screenshots/cup_1_use.png
451,cup,use,2,Medium Wrap,2,1,-0.061008,624,"0,0.341779,0.599579,-0.723666,0.0463473,0.238544,-0.800166,-0.5503,0.0691049,-0.909001,0.0154542,-0.416506,0.0931399,0,1.06375,0.827165,1.25864",screenshots/cup_2_use.png
453,cup,use,4,Power Sphere,4,1,-0.038941999999999997,1316,"0,0.131205,-0.595994,0.792197,-0.0485736,-0.35144,-0.775169,-0.524977,0.0172213,0.92697,-0.20953,-0.311163,0.0842908,1.35506,1.29796,0.294764,1.09017",screenshots/cup_4_use.png
454,cup,use,5,Precision,6,10,-0.088602,3184,"9,-0.0264677,-0.166879,0.985622,-0.0857706,-0.0983886,0.981614,0.163558,-0.0310786,-0.994795,-0.092645,-0.0424003,0.0652362,0.0110225,1.04594,0.911692,1.15198",screenshots/cup_5_use.png
456,cup,use,7,Medium Wrap,2,1,-0.0072940000000000001,2996,"0,-0.166683,-0.93776,0.30467,-0.0175642,-0.346107,0.344977,0.872468,-0.0448093,-0.923269,0.0399771,-0.382067,0.0532433,0,0.99111,1.42905,1.20931",screenshots/cup_7_use.png
457,cup,use,8,Power Sphere,4,4,0.010598,376,"3,-0.999077,-0.0429111,-0.0017532,-0.023916,-0.0415115,0.954419,0.29557,-0.0431231,-0.01101,0.29537,-0.955319,0.111512,1.40039,1.21927,1.31465,1.2853",screenshots/cup_8_use.png
458,cup,use,9,Medium Wrap,2,3,0.051538,1712,"2,-0.0136615,0.882393,0.470315,-0.0166141,0.374601,0.44062,-0.815799,0.0479295,-0.927085,0.165036,-0.336565,0.0719498,0,0.961889,1.32643,1.19536",screenshots/cup_9_use.png
459,cup,use,10,Power Sphere,4,1,-0.070916000000000007,176,"0,-0.0121735,0.790219,0.612703,-0.0211026,0.125373,0.609119,-0.783107,0.0385043,-0.992035,0.0672829,-0.106487,0.0561206,1.18478,1.15658,1.27757,1.23537",screenshots/cup_10_use.png
460,cup,use,11,Medium Wrap,2,1,-0.020851000000000001,1344,"0,0.0495903,-0.752103,0.657177,-0.0270145,-0.30794,-0.637445,-0.706284,0.072808,0.950113,-0.167346,-0.263214,0.0921042,0.0602246,0.963836,0.817831,1.2965",screenshots/cup_11_use.png
461,cup,use,12,Medium Wrap,2,3,-0.022301999999999999,1888,"2,0.274927,-0.837805,0.471696,-0.0180001,-0.148245,-0.521673,-0.840168,0.0795713,0.949967,0.161058,-0.267623,0.0549441,0.00807261,0.949821,0.942895,1.18107",screenshots/cup_12_use.png
462,cup,use,13,Medium Wrap,2,1,-0.025607000000000001,2996,"0,-0.047304,-0.983808,0.172867,-0.0129841,-0.419368,0.17663,0.890467,-0.0457262,-0.906583,-0.0303723,-0.420933,0.0669787,0,0.992324,1.36015,1.24965",screenshots/cup_13_use.png
463,cup,use,14,Power Sphere,4,5,0.058004,1357,"4,-0.742762,-0.161968,0.64967,-0.00863731,-0.642626,-0.0999607,-0.759631,0.045349,0.187977,-0.98172,-0.029838,0.0994398,1.55155,1.37699,0.509231,1.4246",screenshots/cup_14_use.png
464,cup,use,15,Power Sphere,4,3,-0.049167000000000002,3181,"2,0.361836,0.267278,0.893105,-0.0450365,-0.929958,0.170507,0.32574,-0.00180163,-0.0652179,-0.948414,0.310252,0.0583499,0.625265,1.20932,1.99923,1.56513",screenshots/cup_15_use.png
465,cup,use,16,Medium Wrap,2,3,0.14880499999999999,3168,"2,0.319719,0.2203,0.921546,-0.062633,0.027532,-0.974345,0.223369,-0.0262597,0.947112,-0.0460432,-0.317582,0.0613291,0,1.01004,1.2266,1.14067",screenshots/cup_16_use.png
500,flashlight,handoff,1,Precision Sphere,5,1,-0.21591399999999999,1864,"0,-0.961964,-0.162567,0.219537,-0.0153706,-0.271506,0.65768,-0.702668,0.0667248,-0.0301551,-0.735547,-0.676803,0.18827,0.979026,1.65042,1.37221,1.2905",screenshots/flashlight_1_handoff.png
502,flashlight,handoff,3,Precision Sphere,5,1,-0.081566,2856,,screenshots/flashlight_3_handoff.png
503,flashlight,handoff,4,Small Wrap,3,1,-0.10644000000000001,1561,"0,0.537044,0.0224436,0.843255,-0.0199671,0.842337,0.0394125,-0.537508,-0.0101389,-0.0452985,0.99897,0.00226124,0.12966,0.203053,2.02324,1.63635,2.39603",screenshots/flashlight_4_handoff.png
504,flashlight,handoff,5,Precision Sphere,5,8,0.17366300000000001,2259,"7,-0.178697,0.092902,0.979508,-0.101429,0.153752,0.985938,-0.0654621,-0.00925015,-0.971816,0.138903,-0.190468,0.117731,0.920596,1.15249,1.04014,1.44091",screenshots/flashlight_5_handoff.png
505,flashlight,handoff,6,Precision Sphere,5,3,0.069625000000000006,285,,screenshots/flashlight_6_handoff.png
507,flashlight,handoff,8,Small Wrap,3,1,-0.051866000000000002,1529,"0,0.993914,-0.0107368,-0.109635,0.0192991,-0.110085,-0.133299,-0.984943,0.00724411,-0.00403911,0.991017,-0.13367,0.13212,0,2.51327,2.11053,2.55991",screenshots/flashlight_8_handoff.png
508,flashlight,handoff,9,Small Wrap,3,1,0.029259,2008,"0,-0.992139,-0.10226,-0.0721279,0.00566975,-0.12354,0.708598,0.694714,-0.0388523,-0.0199315,0.698163,-0.715661,0.0572965,0,2.47334,2.06189,1.44947",screenshots/flashlight_9_handoff.png
509,flashlight,handoff,10,Small Wrap,3,3,0.032384999999999997,2008,"2,-0.966231,-0.200821,-0.161457,0.00847443,-0.249844,0.576823,0.777723,-0.0471269,-0.063051,0.791799,-0.607518,0.0596255,0.0344356,1.78925,1.89918,1.33454",screenshots/flashlight_10_handoff.png
510,flashlight,handoff,11,Power Sphere,4,2,-0.028223000000000002,3160,"1,-0.722819,-0.641859,-0.256027,0.0352274,-0.687988,0.633647,0.353786,-0.0104853,-0.0648503,0.431867,-0.899603,0.107864,0.345868,1.13605,2.51327,2.10558",screenshots/flashlight_11_handoff.png
550,flashlight,use,1,Small Wrap,3,1,-0.149724,1148,,screenshots/flashlight_1_use.png
551,flashlight,use,2,Precision Sphere,5,1,-0.051677000000000001,125,"0,-0.671422,0.70251,0.235948,-0.0283367,0.719301,0.694393,-0.0206119,-0.000775392,-0.178321,0.155878,-0.971547,0.163993,0.165722,1.33079,1.73901,1.39273",screenshots/flashlight_2_use.png
552,flashlight,use,3,Small Wrap,3,1,-0.043328999999999999,1196,,screenshots/flashlight_3_use.png
553,flashlight,use,4,Small Wrap,3,1,-0.031685999999999999,77,"0,-0.200101,-0.0696433,-0.977297,0.0187322,0.978378,-0.0674563,-0.195515,-0.0156277,-0.0523084,-0.995288,0.0816355,0.132268,3.14159,2.09741,1.70353,2.39562",screenshots/flashlight_4_use.png
554,flashlight,use,5,Precision,6,6,0.021898000000000001,545,"5,0.151395,0.97005,-0.189953,0.0115307,0.0899175,0.177856,0.97994,-0.098648,0.984375,-0.165439,-0.0602979,0.118272,0.0132662,1.32384,1.24569,1.4499",screenshots/flashlight_5_use.png
600,hammer,handoff,1,Precision,6,1,-0.25326900000000002,2268,,screenshots/hammer_1_handoff.png
601,hammer,handoff,2,Precision Sphere,5,12,-0.16137699999999999,2303,"11,0.992027,0.101977,0.0740373,-0.100571,0.00822851,-0.63867,0.769435,-0.0342742,0.12575,-0.762692,-0.634418,0.0798231,0.212428,1.36462,1.2555,1.33138",screenshots/hammer_2_handoff.png
602,hammer,handoff,3,Small Wrap,3,1,-0.068789000000000003,2736,,screenshots/hammer_3_handoff.png
603,hammer,handoff,4,Invalid,7,19,-0.15453700000000001,189,,screenshots/hammer_4_handoff.png
604,hammer,handoff,5,Power Sphere,4,1,1.6645000000000001,3024,,screenshots/hammer_5_handoff.png
650,hammer,use,1,Power Sphere,4,1,-0.060444999999999999,380,"0,0.151484,-0.0234662,-0.988181,0.138064,-0.978836,-0.142719,-0.146663,0.0410985,-0.13759,0.989485,-0.0445892,-0.0297672,0.112487,1.22307,1.47288,1.40178",screenshots/hammer_1_use.png
651,hammer,use,2,Power Sphere,4,1,-0.036826999999999999,1084,,screenshots/hammer_2_use.png
652,hammer,use,3,Small Wrap,3,5,-0.028098999999999999,1373,"4,0.0185976,0.894842,0.445994,0.065946,0.50315,-0.393848,0.769235,0.00880448,0.863998,0.210096,-0.457565,0.045959,0,2.51327,1.9156,2.59062",screenshots/hammer_3_use.png
653,hammer,use,4,Power Sphere,4,1,-0.030055999999999999,1084,"0,-0.127604,0.930335,-0.343792,0.043631,0.986431,0.0829413,-0.141681,0.0194746,-0.103296,-0.357206,-0.928295,0.0338993,0.0537313,2.371,2.51327,0.0445465",screenshots/hammer_4_use.png
654,hammer,use,5,Small Wrap,3,1,-0.064962000000000006,3025,"0,-0.132813,0.934126,-0.331314,0.0625564,0.658126,-0.16683,-0.734192,0.0351403,-0.741101,-0.315557,-0.592616,0.0280967,0,2.50743,2.48588,0",screenshots/hammer_5_use.png
700,knife,handoff,1,Precision Sphere,5,3,-0.17846100000000001,506,"2,0.982416,-0.0291647,0.184407,-0.0219297,-0.0393271,0.933235,0.357107,-0.110341,-0.18251,-0.35808,0.915679,-0.0680723,1.50376,1.56859,1.55704,1.4885",screenshots/knife_1_handoff.png
701,knife,handoff,2,Precision,6,15,-0.083046999999999996,2752,"14,0.456415,-0.840421,-0.292194,0.0260206,-0.857662,-0.502966,0.106961,0.0643726,-0.236856,0.201785,-0.950359,0.0859427,0.0583669,1.46187,1.53771,1.43456",screenshots/knife_2_handoff.png
702,knife,handoff,3,Power Sphere,4,15,0.080879000000000006,1687,"14,0.466648,0.0772561,0.881062,-0.0222616,-0.0777583,0.995903,-0.0461418,0.0138868,-0.881018,-0.0469778,0.470744,-0.0145632,0.0935184,2.4909,2.45461,0.00168592",screenshots/knife_3_handoff.png
703,knife,handoff,4,Small Wrap,3,1,-0.20816299999999999,868,"0,-0.180708,0.561138,-0.807756,0.0166301,-0.0906206,-0.827283,-0.554429,-0.0826813,-0.979353,-0.0269902,0.200347,0.0419337,0.0130711,2.24963,2.37236,2.39602",screenshots/knife_4_handoff.png
704,knife,handoff,5,Precision Sphere,5,4,-0.17175699999999999,2405,"3,0.979533,-0.117405,0.163493,-0.0184797,-0.0302792,-0.888971,-0.456962,0.0566328,0.19899,0.442659,-0.874332,0.0886781,1.77374,1.45346,1.04296,1.36141",screenshots/knife_5_handoff.png
750,knife,use,1,Small Wrap,3,1,-0.17969199999999999,2016,,screenshots/knife_1_use.png
751,knife,use,2,Precision Sphere,5,1,-0.19860800000000001,2227,"0,-0.0688279,-0.0854149,-0.993965,0.0760563,-0.0433516,0.995643,-0.0825573,-0.0654906,0.996686,0.0374077,-0.0722312,0.0374325,0.947174,1.54406,1.60644,1.33118",screenshots/knife_2_use.png
752,knife,use,3,Precision Sphere,5,14,-0.13844300000000001,761,"13,0.00824327,0.535693,-0.844371,0.0609385,0.00963573,0.844319,0.535754,-0.105354,0.999919,-0.0125525,0.00179819,0.00931001,1.5917,1.72047,1.36246,1.51074",screenshots/knife_3_use.png
753,knife,use,4,Small Wrap,3,2,-0.13483800000000001,1225,,screenshots/knife_4_use.png
800,light_bulb,handoff,1,Precision,6,1,-0.22883400000000001,1922,"0,-0.966439,-0.188014,-0.175057,-0.0358991,0.239348,-0.906521,-0.347754,0.0403554,-0.0933098,-0.377983,0.921099,-0.0927622,0,2.51327,1.28353,1.31015",screenshots/light_bulb_1_handoff.png
801,light_bulb,handoff,2,Precision,6,1,-0.196799,2424,"0,0.347593,-0.818286,0.457806,-0.0243652,-0.935001,-0.26585,0.234726,0.00199097,-0.0703656,-0.509639,-0.857506,0.0739606,0.835279,1.11751,0.0796909,1.18631",screenshots/light_bulb_2_handoff.png
802,light_bulb,handoff,3,Precision Sphere,5,1,-0.142039,27,"0,-0.0506432,-0.710208,0.702168,-0.0698564,-0.996946,0.0777927,0.00677966,-0.00184911,-0.0594384,-0.699681,-0.711978,0.088613,0.0312941,1.27665,1.17369,1.01043",screenshots/light_bulb_3_handoff.png
803,light_bulb,handoff,4,Power Sphere,4,1,-0.099118999999999999,1136,"0,0.475457,0.185172,-0.86003,0.0595028,0.836805,0.206478,0.507074,-0.0260111,0.271473,-0.96077,-0.0567813,-0.0152535,0.042486,1.58706,0.722321,1.20537",screenshots/light_bulb_4_handoff.png
804,light_bulb,handoff,5,Precision Sphere,5,3,0.13038,1688,"2,0.395926,-0.870854,-0.2913,0.0151829,-0.092049,-0.353262,0.930984,-0.0796468,-0.913658,-0.341787,-0.220027,0.0197375,0,2.15314,1.49127,0.968662",screenshots/light_bulb_5_handoff.png
850,light_bulb,use,1,Precision Sphere,5,1,-0.178678,756,"0,0.971381,-0.236121,0.0257805,0.0209326,0.0409559,0.273417,0.961023,-0.0522578,-0.233966,-0.932464,0.275262,-0.028701,0.581771,1.41219,0,1.18513",screenshots/light_bulb_1_use.png
852,light_bulb,use,3,Power Sphere,4,1,0.0097040000000000008,2195,"0,0.363933,0.0526541,-0.929935,0.0489091,0.559689,-0.810412,0.173149,-0.0060222,-0.744514,-0.583489,-0.324406,0.0298968,0.165217,1.27259,0.836504,1.14189",screenshots/light_bulb_3_use.png
853,light_bulb,use,4,Power Sphere,4,1,-0.12607399999999999,1600,"0,-0.89028,0.0910833,-0.446213,0.0399261,-0.367759,0.434129,0.822366,-0.0341093,0.268618,0.896234,-0.353,0.0153361,0,1.28917,1.53844,1.42957",screenshots/light_bulb_4_use.png
854,light_bulb,use,5,Precision,6,1,-0.108168,1503,"0,-0.049976,-0.0136041,-0.998657,0.132621,-0.402888,-0.914668,0.0326217,0.00983324,-0.913884,0.403977,0.0402304,-0.0250983,0.0155593,1.15352,0.912416,1.28654",screenshots/light_bulb_5_use.png
900,mouse,handoff,1,Power Sphere,4,1,-0.23982200000000001,156,"0,-0.186617,-0.981948,0.0308218,0.0297723,-0.220567,0.0113048,-0.975306,0.0373018,0.957353,-0.188808,-0.218695,0.0155112,1.28111,1.58648,1.56654,1.14815",screenshots/mouse_1_handoff.png
901,mouse,handoff,2,Medium Wrap,2,1,-0.15260299999999999,564,"0,0.991598,-0.0596832,0.114766,-0.0185926,0.0961483,-0.253466,-0.962554,0.0396011,0.0865376,0.965501,-0.245598,0.0222008,0.114145,1.38844,0.729686,1.19045",screenshots/mouse_2_handoff.png
902,mouse,handoff,3,Precision,6,1,0.104755,836,"0,-0.960272,-0.0394788,-0.276261,-0.0058376,-0.101305,-0.873099,0.476902,-0.0177608,-0.260031,0.485942,0.834413,-0.0467393,0.0609616,1.35601,1.25128,1.36643",screenshots/mouse_3_handoff.png
903,mouse,handoff,4,Power Sphere,4,1,-0.18557299999999999,156,"0,-0.148931,-0.985802,0.0775581,0.0227525,-0.201842,-0.0464757,-0.978315,0.0364433,0.968029,-0.161355,-0.192054,0.0157739,1.30742,1.59994,1.56446,1.19905",screenshots/mouse_4_handoff.png
904,mouse,handoff,5,Precision Sphere,5,2,-0.0082500000000000004,1759,"1,-0.039835,-0.246746,0.968261,-0.117295,0.060024,0.966689,0.248815,-0.0298066,-0.997402,0.0680303,-0.0236972,0.0163057,0.162012,1.66792,1.72339,1.15877",screenshots/mouse_5_handoff.png
950,mouse,use,1,Power Sphere,4,1,-0.147484,1912,"0,-0.625535,-0.780012,0.0169742,0.0136427,-0.20523,0.143518,-0.968134,0.0323643,0.75272,-0.609085,-0.249857,0.0298481,1.6548,1.64804,1.53589,1.46895",screenshots/mouse_1_use.png
951,mouse,use,2,Medium Wrap,2,1,-0.021108999999999999,1941,"0,0.619155,0.53468,-0.575121,0.0406681,0.372532,0.444731,0.814514,-0.0400273,0.691279,-0.718561,0.076172,-0.0134174,0,1.1823,1.39219,0.97325",screenshots/mouse_2_use.png
952,mouse,use,3,Power Sphere,4,1,0.051794,3193,"0,0.0289383,-0.981841,0.187482,0.0280709,0.0680053,-0.185193,-0.980346,0.0342754,0.997265,0.0411194,0.0614111,-0.0235456,1.69519,1.40024,0.592626,1.55999",screenshots/mouse_3_use.png
953,mouse,use,4,Power Sphere,4,1,0.037898000000000001,3019,"0,0.0388443,0.632649,-0.773464,0.0799335,0.918857,0.281562,0.276448,-0.0034421,0.392673,-0.721441,-0.570378,0.0124484,3.12099,0.737561,0.252945,0.53664",screenshots/mouse_4_use.png
954,mouse,use,5,Precision,6,1,0.0047749999999999997,1921,"0,-0.983427,-0.00419397,-0.181255,0.034547,-0.168606,-0.34639,0.922814,-0.0536163,-0.0666553,0.938081,0.339943,-0.0403198,0.129325,1.00717,0.962394,1.36497",screenshots/mouse_5_use.png
1000,mug,handoff,1,Power Sphere,4,1,-0.21496199999999999,432,"0,0.319441,0.853967,-0.410727,0.00424864,0.484733,-0.519693,-0.703528,0.0505972,-0.814242,0.0256426,-0.579958,0.0869747,1.38939,1.01844,1.16579,0.982758",screenshots/mug_1_handoff.png
1001,mug,handoff,2,Precision Sphere,5,5,-0.111467,1380,"4,-0.128052,0.915459,0.381493,-0.0515959,-0.394944,-0.399913,0.827096,-0.0961855,0.909737,-0.0447572,0.412765,0.0243145,0.0296303,1.26838,1.07084,0.877231",screenshots/mug_2_handoff.png
1002,mug,handoff,3,Medium Wrap,2,1,0.029162,1720,"0,0.903504,-0.229774,-0.361778,0.00974715,-0.420824,-0.31578,-0.850407,0.0546317,0.0811593,0.920591,-0.382002,0.0725938,0.0983824,1.03006,0.861919,0.836233",screenshots/mug_3_handoff.png
1003,mug,handoff,4,Power Sphere,4,1,-0.13602900000000001,1440,"0,-0.0739141,-0.99725,0.00517199,-0.00105393,-0.482927,0.0312548,-0.875102,0.0525421,0.872535,-0.0671802,-0.483909,0.0855522,1.14894,1.17955,0.689911,0.815522",screenshots/mug_4_handoff.png
1004,mug,handoff,5,Medium Wrap,2,2,-0.29028700000000002,3072,"1,-0.0435352,0.0314744,-0.998555,0.0507617,-0.116921,0.992474,0.0363805,-0.0148925,0.992186,0.118336,-0.0395275,0.110165,0.139051,2.46642,0.75551,0.97162",screenshots/mug_5_handoff.png
1050,mug,use,1,Precision,6,1,-0.13831299999999999,448,"0,0.156886,0.898387,0.410228,-0.0845939,0.0841768,-0.426023,0.900788,-0.0770918,0.984023,-0.10679,-0.142461,0.0822283,0,0.930459,0.755699,1.28895",screenshots/mug_1_use.png
1051,mug,use,2,Power Sphere,4,1,-0.20944299999999999,1189,"0,-0.363658,-0.0613319,-0.929511,0.0613273,0.292938,0.939679,-0.17661,-0.0150787,0.884274,-0.336515,-0.323755,0.0659919,1.54709,1.52202,0.946529,1.18697",screenshots/mug_2_use.png
